Date,Open,High,Low,Close,Volume,Change
2013-08-07,20352,20407,20191,20204,6767777,-0.014150483068215092
2013-08-08,20213,20389,20170,20251,9876224,0.0023262720253414138
2013-08-09,20257,20288,20134,20259,7290913,0.0003950422201373094
2013-08-12,20201,20369,20144,20297,3469099,0.00187570956118277
2013-08-13,20320,20595,20306,20589,5204868,0.01438636251662806
2013-08-14,20592,20737,20566,20734,6486878,0.007042595560736276
2013-08-16,20515,20808,20471,20682,7206807,-0.0025079579434744703
2013-08-19,20634,20677,20554,20692,7497707,0.0004835122328594732
2013-08-20,20570,20763,20361,20382,7617077,-0.014981635414653027
2013-08-21,20417,20429,20099,20140,9696093,-0.011873221469924422
2013-08-22,19953,20058,19837,19978,15363541,-0.008043694141012914
2013-08-23,20063,20265,20007,20217,11300120,0.011963159475423035
2013-08-26,20239,20482,20239,20435,4588053,0.010783004402235674
2013-08-27,20343,20512,20339,20408,7654406,-0.0013212625397601707
2013-08-28,20183,20449,20162,20461,6948471,0.0025970207761663033
2013-08-29,20482,20816,20474,20772,6762629,0.015199648111040576
2013-08-30,20838,20936,20742,20930,12162406,0.007606393221644581
2013-09-02,20910,21029,20873,20906,11205414,-0.0011466794075489783
2013-09-03,21006,21090,20947,20993,8830639,0.004161484741222576
2013-09-04,20953,21033,20829,20979,5812477,-0.0006668889629876107
2013-09-05,21067,21259,21010,21216,9033218,0.011297011297011217
2013-09-06,21210,21356,21160,21279,12339417,0.002969457013574761
2013-09-09,21346,21506,21328,21466,15015653,0.008788006955213978
2013-09-10,21516,21702,21482,21715,18321688,0.01159973912233303
2013-09-11,21758,21820,21668,21784,19680368,0.0031775270550311596
2013-09-12,21795,22033,21764,21809,28937813,0.0011476312890195128
2013-09-13,21773,21876,21659,21695,17280774,-0.005227199779907377
2013-09-16,21880,22033,21880,21935,10550539,0.01106245678727813
2013-09-17,21898,21898,21734,21822,12253916,-0.0051515842261226075
2013-09-23,21835,22006,21664,21868,7568199,0.00210796443955652
2013-09-24,21769,21894,21694,21852,5773378,-0.000731662703493674
2013-09-25,21882,21890,21680,21720,5308788,-0.006040637012630468
2013-09-26,21689,21913,21638,21927,6829017,0.009530386740331576
